nome_municipio,codigo_ibge,idhm_educa,idhm_renda,qtd_pes_baixa_renda,qtd_pes_pob
Abadia de Goiás (GO),520005,0.622,0.687,4091,6866
Abadia dos Dourados (MG),310010,0.563,0.693,685,956
Abadiânia (GO),520010,0.579,0.671,2876,3406
Abaeté (MG),310020,0.556,0.72,2754,3825
Abaetetuba (PA),150010,0.537,0.579,17670,92607
Abaiara (CE),230010,0.612,0.54,1379,4893
Abaíra (BA),290010,0.51,0.577,825,3574
Abaré (BA),290020,0.46,0.533,2449,9679
Abatiá (PR),410010,0.596,0.676,1327,1002
Abdon Batista (SC),420005,0.625,0.66,400,420
Abel Figueiredo (PA),150013,0.481,0.625,792,3564
Abelardo Luz (SC),420010,0.578,0.684,2051,3660
Abre Campo (MG),310030,0.525,0.646,1274,3483
Abreu E Lima (PE),260005,0.632,0.625,13494,38435
Abreulândia (TO),170025,0.502,0.7,605,540
Acaiaca (MG),310040,0.499,0.61,547,1071
Açailândia (MA),210005,0.602,0.643,16241,27771
Acajutiba (BA),290030,0.487,0.56,1890,7072
Acará (PA),150020,0.332,0.517,7648,36838
Acarape (CE),230015,0.562,0.559,2632,6986
Acaraú (CE),230020,0.517,0.554,7912,33781
Acari (RN),240010,0.634,0.633,1929,2682
Acauã (PI),220005,0.411,0.517,923,3496
Aceguá (RS),430003,0.541,0.703,569,826
Acopiara (CE),230030,0.517,0.563,5447,20677
Acorizal (MT),510010,0.51,0.594,759,2230
Acrelândia (AC),120001,0.466,0.584,2487,5564
Acreúna (GO),520013,0.553,0.71,3627,2808
Açu (RN),240020,0.568,0.641,10233,20333
Açucena (MG),310050,0.451,0.595,1383,2323
Adamantina (SP),350010,0.75,0.772,2544,1624
Adelândia (GO),520015,0.622,0.664,485,464
Adolfo (SP),350020,0.648,0.71,548,442
Adrianópolis (PR),410020,0.563,0.644,1162,1255
Adustina (BA),290035,0.432,0.526,1942,7160
Afogados da Ingazeira (PE),260010,0.565,0.623,7604,14961
Afonso Bezerra (RN),240030,0.502,0.56,1226,5927
Afonso Cláudio (ES),320010,0.544,0.661,6712,4387
Afonso Cunha (MA),210010,0.434,0.471,617,5443
Afrânio (PE),260020,0.493,0.542,2916,8937
Afuá (PA),150030,0.311,0.485,4772,31232
Agrestina (PE),260030,0.47,0.581,2750,13083
Agricolândia (PI),220010,0.526,0.55,767,2425
Agrolândia (SC),420020,0.633,0.727,624,400
Agronômica (SC),420030,0.595,0.774,267,164
Água Azul do Norte (PA),150034,0.399,0.563,1684,6528
Água Boa (MG),310060,0.403,0.594,1946,4800
Água Boa (MT),510020,0.646,0.723,3620,1939
Água Branca (AL),270010,0.432,0.527,3710,8421
Água Branca (PB),250010,0.484,0.542,1476,4631
Água Branca (PI),220020,0.569,0.6,1648,8624
Água Clara (MS),500020,0.518,0.705,2107,4262
Água Comprida (MG),310070,0.498,0.719,176,513
Água Doce (SC),420040,0.574,0.724,835,157
Água Doce do Maranhão (MA),210015,0.363,0.494,1533,6999
Água Doce do Norte (ES),320016,0.546,0.619,1594,4429
Água Fria (BA),290040,0.422,0.529,1129,8990
Água Fria de Goiás (GO),520017,0.55,0.672,1091,1170
Água Limpa (GO),520020,0.663,0.691,305,687
Água Nova (RN),240040,0.572,0.527,656,1222
Água Preta (PE),260040,0.432,0.514,3663,11837
Água Santa (RS),430005,0.59,0.84,227,576
Aguaí (SP),350030,0.606,0.703,3453,5787
Aguanil (MG),310080,0.513,0.672,699,895
Águas Belas (PE),260050,0.385,0.546,3734,27851
Águas da Prata (SP),350040,0.716,0.75,794,607
Águas de Chapecó (SC),420050,0.629,0.712,653,474
Águas de Lindóia (SP),350050,0.675,0.725,1519,1110
Águas de Santa Bárbara (SP),350055,0.695,0.744,684,1139
Águas de São Pedro (SP),350060,0.825,0.849,198,153
Águas Formosas (MG),310090,0.531,0.624,2447,7947
Águas Frias (SC),420055,0.661,0.728,211,82
Águas Lindas de Goiás (GO),520025,0.588,0.647,34675,66395
Águas Mornas (SC),420060,0.606,0.731,378,462
Águas Vermelhas (MG),310100,0.458,0.586,1783,6325
Agudo (RS),430010,0.524,0.752,1313,2218
Agudos (SP),350070,0.694,0.705,3401,3433
Agudos do Sul (PR),410030,0.543,0.671,1669,2359
Águia Branca (ES),320013,0.595,0.66,1511,2457
Aguiar (PB),250020,0.447,0.632,731,2277
Aguiarnópolis (TO),170030,0.571,0.618,1255,1148
Aimorés (MG),310110,0.576,0.685,3444,5673
Aiquara (BA),290060,0.471,0.573,681,1834
Aiuaba (CE),230040,0.474,0.518,1620,7674
Aiuruoca (MG),310120,0.505,0.677,656,513
Ajuricaba (RS),430020,0.658,0.763,438,565
Alagoa (MG),310130,0.518,0.634,244,791
Alagoa Grande (PB),250030,0.43,0.576,3932,13084
Alagoa Nova (PB),250040,0.451,0.567,3741,8686
Alagoinha (PB),250050,0.462,0.574,1591,7325
Alagoinha (PE),260060,0.472,0.569,1614,6848
Alagoinha do Piauí (PI),220025,0.391,0.535,759,3267
Alagoinhas (BA),290070,0.592,0.681,19003,52256
Alambari (SP),350075,0.658,0.682,816,499
Albertina (MG),310140,0.549,0.684,335,639
Alcântara (MA),210020,0.475,0.525,1879,12712
Alcântaras (CE),230050,0.524,0.549,2621,3418
Alcantil (PB),250053,0.458,0.55,894,2511
Alcinópolis (MS),500025,0.572,0.733,624,1221
Alcobaça (BA),290080,0.476,0.611,4280,11731
Aldeias Altas (MA),210030,0.374,0.5,3069,11411
Alecrim (RS),430030,0.522,0.683,642,991
Alegre (ES),320020,0.63,0.708,3735,6669
Alegrete (RS),430040,0.664,0.72,7862,8509
Alegrete do Piauí (PI),220027,0.475,0.564,559,2163
Alegria (RS),430045,0.572,0.717,396,629
Além Paraíba (MG),310150,0.626,0.713,4359,6874
Alenquer (PA),150040,0.436,0.529,5052,36802
Alexandria (RN),240050,0.491,0.581,2104,5226
Alexânia (GO),520030,0.568,0.664,3326,10312
Alfenas (MG),310160,0.712,0.737,8139,12301
Alfredo Chaves (ES),320030,0.611,0.703,1721,1759
Alfredo Marcondes (SP),350080,0.71,0.682,563,511
Alfredo Vasconcelos (MG),310163,0.587,0.629,1508,911
Alfredo Wagner (SC),420070,0.481,0.702,1088,1128
Algodão de Jandaíra (PB),250057,0.413,0.532,358,1873
Alhandra (PB),250060,0.465,0.544,3665,9672
Aliança (PE),260070,0.488,0.565,4822,17305
Aliança do Tocantins (TO),170035,0.596,0.61,948,1525
Almadina (BA),290090,0.421,0.563,379,2675
Almas (TO),170040,0.524,0.616,1463,2509
Almeirim (PA),150050,0.497,0.659,4165,18093
Almenara (MG),310170,0.518,0.636,5680,13370
Almino Afonso (RN),240060,0.568,0.578,674,2310
Almirante Tamandaré (PR),410040,0.575,0.706,17149,15518
Almirante Tamandaré do Sul (RS),430047,0.669,0.732,109,121
Aloândia (GO),520050,0.585,0.694,326,357
Alpercata (MG),310180,0.521,0.629,1082,2331
Alpestre (RS),430050,0.543,0.7,788,468
Alpinópolis (MG),310190,0.629,0.703,2613,2447
Alta Floresta (MT),510025,0.629,0.709,6424,8454
Alta Floresta D'Oeste (RO),110001,0.526,0.657,3784,4063
Altair (SP),350090,0.581,0.698,369,454
Altamira (PA),150060,0.548,0.662,19831,38914
Altamira do Maranhão (MA),210040,0.473,0.486,403,4138
Altamira do Paraná (PR),410045,0.571,0.667,753,595
Altaneira (CE),230060,0.515,0.547,991,4042
Alterosa (MG),310200,0.536,0.657,1659,2793
Altinho (PE),260080,0.482,0.559,2264,10571
Altinópolis (SP),350100,0.635,0.726,1768,3176
Alto Alegre (RR),140005,0.379,0.518,2355,7686
Alto Alegre (RS),430055,0.642,0.756,137,139
Alto Alegre (SP),350110,0.616,0.683,277,696
Alto Alegre do Maranhão (MA),210043,0.444,0.516,3236,11188
Alto Alegre do Pindaré (MA),210047,0.483,0.465,3850,14269
Alto Alegre dos Parecis (RO),110037,0.443,0.603,2095,755
Alto Araguaia (MT),510030,0.612,0.712,1985,2377
Alto Bela Vista (SC),420075,0.664,0.734,89,36
Alto Boa Vista (MT),510035,0.561,0.613,963,1561
Alto Caparaó (MG),310205,0.514,0.666,1004,1817
Alto do Rodrigues (RN),240070,0.585,0.647,1837,4407
Alto Feliz (RS),430057,0.603,0.74,79,35
Alto Garças (MT),510040,0.583,0.707,1536,2575
Alto Horizonte (GO),520055,0.624,0.709,923,1542
Alto Jequitibá (MG),315350,0.554,0.66,1605,2264
Alto Longá (PI),220030,0.47,0.567,1018,6950
Alto Paraguai (MT),510050,0.541,0.612,925,2680
Alto Paraíso (PR),412862,0.556,0.677,568,666
Alto Paraíso (RO),110040,0.457,0.664,3323,2886
Alto Paraíso de Goiás (GO),520060,0.611,0.723,1591,2375
Alto Paraná (PR),410060,0.587,0.679,2021,2522
Alto Parnaíba (MA),210050,0.474,0.683,1518,4947
Alto Piquiri (PR),410070,0.578,0.669,1663,1361
Alto Rio Doce (MG),310210,0.483,0.595,1520,3286
Alto Rio Novo (ES),320035,0.567,0.634,1124,3014
Alto Santo (CE),230070,0.499,0.563,2292,6133
Alto Taquari (MT),510060,0.571,0.736,1397,1271
Altônia (PR),410050,0.641,0.69,2143,1540
Altos (PI),220040,0.512,0.59,7099,15646
Alumínio (SP),350115,0.732,0.729,1050,1166
Alvarães (AM),130002,0.377,0.499,2080,10849
Alvarenga (MG),310220,0.441,0.589,732,1612
Álvares Florence (SP),350120,0.683,0.701,399,486
Álvares Machado (SP),350130,0.732,0.712,2632,4588
Álvaro de Carvalho (SP),350140,0.605,0.669,489,632
Alvinlândia (SP),350150,0.659,0.721,428,464
Alvinópolis (MG),310230,0.577,0.651,1640,3054
Alvorada (RS),430060,0.564,0.694,21402,32338
Alvorada (TO),170070,0.623,0.677,1230,2443
Alvorada de Minas (MG),310240,0.414,0.57,743,1621
Alvorada do Gurguéia (PI),220045,0.496,0.52,933,2905
Alvorada do Norte (GO),520080,0.548,0.64,1781,2091
Alvorada do Sul (PR),410080,0.617,0.695,1205,1688
Alvorada D'Oeste (RO),110034,0.534,0.654,2473,3115
Amajari (RR),140002,0.319,0.437,1450,6062
Amambai (MS),500060,0.546,0.683,6226,12904
Amapá (AP),160010,0.532,0.631,1045,4948
Amapá do Maranhão (MA),210055,0.406,0.503,926,4538
Amaporã (PR),410090,0.591,0.644,896,1181
Amaraji (PE),260090,0.454,0.575,2370,9560
Amaral Ferrador (RS),430063,0.457,0.664,472,1339
Amaralina (GO),520082,0.489,0.569,584,875
Amarante (PI),220050,0.497,0.574,2018,8852
Amarante do Maranhão (MA),210060,0.441,0.541,5654,19885
Amargosa (BA),290100,0.492,0.616,7422,11815
Amaturá (AM),130006,0.455,0.499,1252,8078
Amélia Rodrigues (BA),290110,0.6,0.609,4033,6700
América Dourada (BA),290115,0.464,0.506,2418,8197
Americana (SP),350160,0.76,0.8,10259,14898
Americano do Brasil (GO),520085,0.631,0.669,971,974
Américo Brasiliense (SP),350170,0.701,0.709,2329,4080
Américo de Campos (SP),350180,0.708,0.715,521,773
Ametista do Sul (RS),430064,0.562,0.697,967,1497
Amontada (CE),230075,0.582,0.503,6785,21741
Amorinópolis (GO),520090,0.579,0.672,295,988
Amparo (PB),250073,0.551,0.537,349,1341
Amparo (SP),350190,0.711,0.78,4241,3934
Amparo do São Francisco (SE),280010,0.55,0.569,453,858
Amparo do Serra (MG),310250,0.528,0.616,626,1617
Ampére (PR),410100,0.62,0.699,2859,661
Anadia (AL),270020,0.444,0.546,1693,7270
Anagé (BA),290120,0.371,0.549,2228,11653
Anahy (PR),410105,0.593,0.671,430,466
Anajás (PA),150070,0.29,0.506,4136,23718
Anajatuba (MA),210070,0.492,0.523,1844,14477
Analândia (SP),350200,0.668,0.745,501,659
Anamã (AM),130008,0.526,0.537,1142,7931
Ananás (TO),170100,0.605,0.621,1517,4058
Ananindeua (PA),150080,0.658,0.684,66975,114122
Anápolis (GO),520110,0.66,0.737,59306,21701
Anapu (PA),150085,0.371,0.563,3393,20614
Anapurus (MA),210080,0.502,0.511,1384,11378
Anastácio (MS),500070,0.557,0.663,4208,5566
Anaurilândia (MS),500080,0.538,0.676,1058,1415
Anchieta (ES),320040,0.654,0.696,3975,6151
Anchieta (SC),420080,0.608,0.703,464,259
Andaraí (BA),290130,0.415,0.54,1839,6036
Andirá (PR),410110,0.66,0.69,2119,3817
Andorinha (BA),290135,0.474,0.586,1775,6634
Andradas (MG),310260,0.617,0.731,4025,2766
Andradina (SP),350210,0.702,0.762,3932,7834
André da Rocha (RS),430066,0.605,0.738,111,45
Andrelândia (MG),310280,0.621,0.675,1855,2707
Angatuba (SP),350220,0.648,0.693,2892,3910
Angelândia (MG),310285,0.473,0.594,1654,2848
Angélica (MS),500085,0.582,0.692,1419,2140
Angelim (PE),260100,0.448,0.555,1186,5826
Angelina (SC),420090,0.581,0.699,472,398
Angical (BA),290140,0.556,0.564,1603,7318
Angical do Piauí (PI),220060,0.555,0.61,514,3883
Angico (TO),170105,0.612,0.576,754,535
Angicos (RN),240080,0.53,0.606,2005,3998
Angra dos Reis (RJ),330010,0.605,0.74,18102,43057
Anguera (BA),290150,0.471,0.565,1038,4652
Ângulo (PR),410115,0.644,0.705,517,360
Anhanguera (GO),520120,0.657,0.724,168,224
Anhembi (SP),350230,0.637,0.681,754,1591
Anhumas (SP),350240,0.706,0.683,654,321
Anicuns (GO),520130,0.627,0.695,3134,3583
Anísio de Abreu (PI),220070,0.512,0.534,1000,4172
Anita Garibaldi (SC),420100,0.592,0.667,1019,1712
Anitápolis (SC),420110,0.524,0.699,406,320
Anori (AM),130010,0.433,0.54,1170,10002
Anta Gorda (RS),430070,0.63,0.742,271,253
Antas (BA),290160,0.491,0.573,925,5864
Antonina (PR),410120,0.564,0.686,2254,5399
Antonina do Norte (CE),230080,0.506,0.55,800,4439
Antônio Almeida (PI),220080,0.527,0.579,497,1309
Antônio Cardoso (BA),290170,0.422,0.544,1109,6185
Antônio Carlos (MG),310290,0.584,0.65,1406,2161
Antônio Carlos (SC),420120,0.615,0.768,646,429
Antônio Dias (MG),310300,0.507,0.624,1647,1551
Antônio Gonçalves (BA),290180,0.498,0.58,1239,5156
Antônio João (MS),500090,0.526,0.633,2275,1924
Antônio Martins (RN),240090,0.458,0.554,633,3769
Antônio Olinto (PR),410130,0.547,0.626,876,2200
Antônio Prado (RS),430080,0.671,0.777,705,521
Antônio Prado de Minas (MG),310310,0.572,0.674,158,319
Aparecida (PB),250077,0.456,0.567,889,4267
Aparecida (SP),350250,0.706,0.735,4066,4064
Aparecida de Goiânia (GO),520140,0.62,0.716,70742,45073
Aparecida do Rio Doce (GO),520145,0.583,0.7,592,372
Aparecida do Rio Negro (TO),170110,0.588,0.593,1013,1502
Aparecida do Taboado (MS),500100,0.588,0.717,3767,4461
Aparecida D'Oeste (SP),350260,0.67,0.697,597,487
Aperibé (RJ),330015,0.631,0.67,1377,2297
Apiacá (ES),320050,0.549,0.659,1269,2242
Apiacás (MT),510080,0.57,0.666,1837,1552
Apiaí (SP),350270,0.647,0.662,3316,5515
Apicum-Açu (MA),210083,0.483,0.529,1335,12599
Apiúna (SC),420125,0.584,0.735,528,311
Apodi (RN),240100,0.571,0.611,5071,14577
Aporá (BA),290190,0.425,0.516,1620,9077
Aporé (GO),520150,0.584,0.692,539,895
Apuarema (BA),290195,0.413,0.555,996,4064
Apucarana (PR),410140,0.668,0.741,14229,14153
Apuí (AM),130014,0.54,0.621,3192,6257
Apuiarés (CE),230090,0.593,0.536,1423,7293
Aquidabã (SE),280020,0.452,0.573,2595,7958
Aquidauana (MS),500110,0.562,0.69,7883,13924
Aquiraz (CE),230100,0.55,0.608,13681,34034
Arabutã (SC),420127,0.614,0.744,239,205
Araçagi (PB),250080,0.412,0.54,1379,10245
Araçaí (MG),310320,0.632,0.659,281,486
Aracaju (SE),280030,0.708,0.784,63308,124891
Araçariguama (SP),350275,0.597,0.717,2561,4735
Araçás (BA),290205,0.462,0.54,1524,6432
Aracati (CE),230110,0.624,0.607,14637,21140
Aracatu (BA),290200,0.439,0.591,2468,6387
Araçatuba (SP),350280,0.744,0.782,13272,19137
Araci (BA),290210,0.381,0.534,6232,25920
Aracitaba (MG),310330,0.577,0.608,325,459
Aracoiaba (CE),230120,0.556,0.55,5758,11139
Araçoiaba (PE),260105,0.498,0.544,2597,9511
Araçoiaba da Serra (SP),350290,0.723,0.751,3337,3392
Aracruz (ES),320060,0.707,0.717,14190,16382
Araçu (GO),520160,0.578,0.686,612,978
Araçuaí (MG),310340,0.56,0.633,6512,7937
Aragarças (GO),520170,0.68,0.694,2601,4589
Aragoiânia (GO),520180,0.56,0.683,1938,4482
Aragominas (TO),170130,0.461,0.611,925,1962
Araguacema (TO),170190,0.553,0.587,1152,2006
Araguaçu (TO),170200,0.602,0.642,1341,1430
Araguaiana (MT),510100,0.591,0.671,413,801
Araguaína (TO),170210,0.712,0.727,32538,25559
Araguainha (MT),510120,0.627,0.65,87,319
Araguanã (MA),210087,0.444,0.483,1019,5824
Araguanã (TO),170215,0.473,0.617,764,1638
Araguapaz (GO),520215,0.54,0.696,1150,2228
Araguari (MG),310350,0.716,0.74,10407,14560
Araguatins (TO),170220,0.525,0.604,6203,9290
Araioses (MA),210090,0.402,0.497,4376,21710
Aral Moreira (MS),500124,0.507,0.628,1583,3937
Aramari (BA),290220,0.47,0.568,1194,4949
Arambaré (RS),430085,0.57,0.694,665,853
Arame (MA),210095,0.365,0.525,4503,15628
Aramina (SP),350300,0.656,0.723,432,920
Arandu (SP),350310,0.592,0.675,980,1086
Arantina (MG),310360,0.641,0.633,299,957
Arapeí (SP),350315,0.612,0.634,410,760
Arapiraca (AL),270030,0.549,0.638,25130,65612
Arapoema (TO),170230,0.601,0.645,968,1817
Araponga (MG),310370,0.339,0.597,1553,2158
Arapongas (PR),410150,0.669,0.751,10652,9588
Araporã (MG),310375,0.646,0.676,748,1153
Arapoti (PR),410160,0.643,0.715,3513,2712
Arapuá (MG),310380,0.608,0.718,236,293
Arapuã (PR),410165,0.584,0.638,563,689
Araputanga (MT),510125,0.655,0.704,2329,1549
Araquari (SC),420130,0.602,0.696,7022,5438
Arara (PB),250090,0.407,0.569,942,5801
Araranguá (SC),420140,0.691,0.745,6201,5435
Araraquara (SP),350320,0.782,0.788,15303,21479
Araras (SP),350330,0.728,0.763,7911,15807
Ararendá (CE),230125,0.516,0.522,2044,4966
Arari (MA),210100,0.546,0.587,3801,12789
Araricá (RS),430087,0.547,0.696,946,989
Araripe (CE),230130,0.459,0.515,3470,10827
Araripina (PE),260110,0.467,0.595,12946,43245
Araruama (RJ),330020,0.617,0.714,14389,40457
Araruna (PB),250100,0.439,0.549,2281,7647
Araruna (PR),410170,0.648,0.685,2113,1686
Arataca (BA),290225,0.413,0.557,895,3774
Aratiba (RS),430090,0.67,0.801,355,256
Aratuba (CE),230140,0.587,0.53,2576,5784
Aratuípe (BA),290230,0.443,0.57,990,5565
Arauá (SE),280040,0.49,0.55,1764,5110
Araucária (PR),410180,0.639,0.743,17207,18858
Araújos (MG),310390,0.574,0.694,765,1049
Araxá (MG),310400,0.709,0.756,10291,12323
Arceburgo (MG),310410,0.573,0.687,1047,727
Arco-Íris (SP),350335,0.694,0.671,369,321
Arcos (MG),310420,0.671,0.717,4120,5163
Arcoverde (PE),260120,0.567,0.654,8235,28358
Areado (MG),310430,0.649,0.7,1515,2157
Areal (RJ),330022,0.566,0.686,2291,1963
Arealva (SP),350340,0.683,0.718,875,1427
Areia (PB),250110,0.467,0.593,3202,9362
Areia Branca (RN),240110,0.621,0.647,3959,7344
Areia Branca (SE),280050,0.434,0.579,3425,6508
Areia de Baraúnas (PB),250115,0.462,0.566,237,1089
Areial (PB),250120,0.503,0.573,1109,3966
Areias (SP),350350,0.672,0.627,497,1079
Areiópolis (SP),350360,0.594,0.686,1047,1358
Arenápolis (MT),510130,0.649,0.677,1184,1992
Arenópolis (GO),520235,0.582,0.674,456,886
Arês (RN),240120,0.523,0.587,2645,5451
Argirita (MG),310440,0.505,0.645,453,670
Aricanduva (MG),310445,0.454,0.553,726,2073
Arinos (MG),310450,0.57,0.607,2972,4790
Aripuanã (MT),510140,0.553,0.682,3138,4467
Ariquemes (RO),110002,0.6,0.716,12901,18207
Ariranha (SP),350370,0.663,0.73,568,599
Ariranha do Ivaí (PR),410185,0.594,0.637,539,322
Armação dos Búzios (RJ),330023,0.624,0.75,5621,9486
Armazém (SC),420150,0.698,0.743,442,953
Arneiroz (CE),230150,0.564,0.565,1276,2536
Aroazes (PI),220090,0.468,0.563,592,2544
Aroeiras (PB),250130,0.411,0.537,2309,10206
Aroeiras do Itaim (PI),220095,0.378,0.502,239,1617
Arraial (PI),220100,0.449,0.514,664,2281
Arraial do Cabo (RJ),330025,0.677,0.722,4242,8517
Arraias (TO),170240,0.523,0.636,1644,4275
Arroio do Meio (RS),430100,0.706,0.75,1269,1031
Arroio do Padre (RS),430107,0.461,0.756,196,85
Arroio do Sal (RS),430105,0.649,0.74,1415,2279
Arroio do Tigre (RS),430120,0.589,0.708,1095,1203
Arroio dos Ratos (RS),430110,0.583,0.7,1217,3564
Arroio Grande (RS),430130,0.522,0.673,2376,4011
Arroio Trinta (SC),420160,0.653,0.781,131,73
Artur Nogueira (SP),350380,0.681,0.745,4434,5086
Aruanã (GO),520250,0.526,0.708,2268,1370
Arujá (SP),350390,0.73,0.761,8764,15897
Arvoredo (SC),420165,0.61,0.713,205,95
Arvorezinha (RS),430140,0.575,0.713,987,1092
Ascurra (SC),420170,0.636,0.739,367,523
Aspásia (SP),350395,0.657,0.699,267,241
Assaí (PR),410190,0.641,0.724,2370,1252
Assaré (CE),230160,0.482,0.573,2957,10759
Assis (SP),350400,0.781,0.771,8078,9274
Assis Brasil (AC),120005,0.456,0.578,1765,6384
Assis Chateaubriand (PR),410200,0.633,0.713,4447,3109
Assunção (PB),250135,0.51,0.601,589,2606
Assunção do Piauí (PI),220105,0.382,0.462,1364,4026
Astolfo Dutra (MG),310460,0.567,0.686,1985,1621
Astorga (PR),410210,0.675,0.754,3174,1974
Atalaia (AL),270040,0.431,0.545,6119,15655
Atalaia (PR),410220,0.66,0.707,499,485
Atalaia do Norte (AM),130020,0.259,0.481,3198,7583
Atalanta (SC),420180,0.668,0.736,183,101
Ataléia (MG),310470,0.423,0.592,1794,4200
Atibaia (SP),350410,0.67,0.786,12295,10837
Atílio Vivácqua (ES),320070,0.637,0.663,1669,2227
Augustinópolis (TO),170255,0.619,0.614,2984,5355
Augusto Corrêa (PA),150090,0.38,0.48,6435,28083
Augusto de Lima (MG),310480,0.557,0.622,806,1008
Augusto Pestana (RS),430150,0.621,0.779,588,381
Campo Grande (RN),240130,0.495,0.624,681,5660
Áurea (RS),430155,0.588,0.715,162,250
Aurelino Leal (BA),290240,0.434,0.555,1684,6030
Auriflama (SP),350420,0.738,0.746,1333,998
Aurilândia (GO),520260,0.62,0.661,529,526
Aurora (CE),230170,0.521,0.557,4119,10095
Aurora (SC),420190,0.606,0.748,232,171
Aurora do Pará (PA),150095,0.358,0.504,2456,14267
Aurora do Tocantins (TO),170270,0.57,0.676,557,1099
Autazes (AM),130030,0.446,0.539,2741,35660
Avaí (SP),350430,0.65,0.674,598,982
Avanhandava (SP),350440,0.623,0.688,1581,2489
Avaré (SP),350450,0.695,0.751,7718,10292
Aveiro (PA),150100,0.45,0.47,1818,8755
Avelino Lopes (PI),220110,0.442,0.532,1692,5910
Avelinópolis (GO),520280,0.508,0.682,520,872
Axixá (MA),210110,0.634,0.535,965,7201
Axixá do Tocantins (TO),170290,0.566,0.595,1627,6000
Babaçulândia (TO),170300,0.568,0.589,1123,2946
Bacabal (MA),210120,0.591,0.619,12756,44759
Bacabeira (MA),210125,0.58,0.558,2144,8829
Bacuri (MA),210130,0.484,0.54,1162,8122
Bacurituba (MA),210135,0.479,0.474,437,3241
Bady Bassitt (SP),350460,0.701,0.737,2374,2805
Baependi (MG),310490,0.57,0.664,2786,2960
Bagé (RS),430160,0.647,0.739,12441,28779
Bagre (PA),150110,0.28,0.481,1907,18098
Baía da Traição (PB),250140,0.495,0.541,1604,5175
Baía Formosa (RN),240140,0.534,0.59,1744,2983
Baianópolis (BA),290250,0.492,0.543,1864,7329
Baião (PA),150120,0.467,0.538,3274,20883
Baixa Grande (BA),290260,0.471,0.549,1782,9130
Baixa Grande do Ribeiro (PI),220115,0.446,0.537,1693,6067
Baixio (CE),230180,0.575,0.563,789,2767
Baixo Guandu (ES),320080,0.637,0.67,3950,6219
Balbinos (SP),350470,0.537,0.69,101,340
Baldim (MG),310500,0.59,0.65,1293,1958
Baliza (GO),520310,0.558,0.614,469,1173
Balneário Arroio do Silva (SC),420195,0.642,0.753,1986,3247
Balneário Barra do Sul (SC),420205,0.611,0.713,1687,2245
Balneário Camboriú (SC),420200,0.789,0.854,7829,6501
Balneário Gaivota (SC),420207,0.622,0.734,2198,2394
Balneário Piçarras (SC),421280,0.668,0.745,3133,3159
Balneário Pinhal (RS),430163,0.567,0.71,1823,4496
Balsa Nova (PR),410230,0.579,0.707,1732,1947
Bálsamo (SP),350480,0.695,0.746,1265,616
Balsas (MA),210140,0.597,0.674,17423,30055
Bambuí (MG),310510,0.636,0.735,1975,2493
Banabuiú (CE),230185,0.53,0.54,2697,7481
Bananal (SP),350490,0.653,0.693,1634,2369
Bananeiras (PB),250150,0.43,0.555,3491,9593
Bandeira (MG),310520,0.454,0.583,891,946
Bandeira do Sul (MG),310530,0.608,0.681,955,448
Bandeirante (SC),420208,0.565,0.675,381,248
Bandeirantes (MS),500150,0.537,0.694,920,2067
Bandeirantes (PR),410240,0.658,0.714,4868,3217
Bandeirantes do Tocantins (TO),170305,0.571,0.57,500,951
Bannach (PA),150125,0.42,0.635,577,1649
Banzaê (BA),290265,0.468,0.539,2556,5239
Barão (RS),430165,0.652,0.767,223,24
Barão de Antonina (SP),350500,0.649,0.676,591,645
Barão de Cocais (MG),310540,0.647,0.679,3130,3234
Barão de Cotegipe (RS),430170,0.593,0.745,712,265
Barão de Grajaú (MA),210150,0.484,0.578,1709,8487
Barão de Melgaço (MT),510160,0.44,0.598,628,3668
Barão do Monte Alto (MG),310550,0.533,0.619,889,1282
Barão do Triunfo (RS),430175,0.428,0.645,561,1224
Baraúna (PB),250153,0.459,0.526,833,2350
Baraúna (RN),240145,0.446,0.562,5239,11383
Barbacena (MG),310560,0.687,0.751,14506,18400
Barbalha (CE),230190,0.637,0.613,14766,21531
Barbosa (SP),350510,0.599,0.676,739,1479
Barbosa Ferraz (PR),410250,0.625,0.667,1715,1949
Barcarena (PA),150130,0.564,0.643,18796,46368
Barcelona (RN),240150,0.442,0.564,638,1567
Barcelos (AM),130040,0.315,0.545,2170,10642
Bariri (SP),350520,0.662,0.736,2575,3758
Barra (BA),290270,0.457,0.503,7410,25915
Barra Bonita (SC),420209,0.599,0.692,184,170
Barra Bonita (SP),350530,0.739,0.762,2154,3552
Barra da Estiva (BA),290280,0.469,0.566,4489,10723
Barra D'Alcântara (PI),220117,0.471,0.526,507,1979
Barra de Guabiraba (PE),260130,0.474,0.558,1877,5261
Barra de Santa Rosa (PB),250160,0.434,0.542,1468,6261
Barra de Santana (PB),250157,0.465,0.526,1007,4032
Barra de Santo Antônio (AL),270050,0.428,0.552,1716,9525
Barra de São Francisco (ES),320090,0.58,0.673,7053,7519
Barra de São Miguel (AL),270060,0.475,0.638,1553,3436
Barra de São Miguel (PB),250170,0.44,0.584,1013,3150
Barra do Bugres (MT),510170,0.595,0.684,3444,6732
Barra do Chapéu (SP),350535,0.599,0.617,1062,2390
Barra do Choça (BA),290290,0.386,0.563,9187,12887
Barra do Corda (MA),210160,0.498,0.585,11429,37862
Barra do Garças (MT),510180,0.693,0.738,8824,16199
