nome_municipio,codigo_ibge,idhm_educa,idhm_renda,qtd_pes_baixa_renda,qtd_pes_pob
Uberlândia (MG),317020,0.716,0.776,63907,65787
Ubirajara (SP),355550,0.674,0.689,688,1006
Ubiratã (PR),412800,0.669,0.706,2800,4302
Ubiretama (RS),432234,0.613,0.691,198,176
Uchoa (SP),355560,0.644,0.708,1323,574
Uibaí (BA),293240,0.54,0.575,1997,7200
Uiramutã (RR),140070,0.276,0.439,2594,10524
Uirapuru (GO),522157,0.579,0.632,436,1005
Uiraúna (PB),251690,0.528,0.612,1726,5894
Ulianópolis (PA),150812,0.425,0.682,3778,11430
Umari (CE),231370,0.497,0.535,1158,3117
Umarizal (RN),241450,0.506,0.59,1182,4516
Umbaúba (SE),280760,0.476,0.567,3306,12695
Umburanas (BA),293245,0.413,0.469,1760,7607
Umburatiba (MG),317030,0.531,0.599,444,908
Umbuzeiro (PB),251700,0.514,0.545,1441,4167
Umirim (CE),231375,0.524,0.514,2950,8404
Umuarama (PR),412810,0.698,0.755,11335,11169
Una (BA),293250,0.424,0.584,3076,7282
Unaí (MG),317040,0.651,0.723,10814,8162
União (PI),221110,0.453,0.542,5536,23603
União da Serra (RS),432235,0.587,0.786,26,50
União da Vitória (PR),412820,0.68,0.713,6422,4951
União de Minas (MG),317043,0.534,0.684,469,850
União do Oeste (SC),421885,0.606,0.703,259,86
União do Sul (MT),510830,0.556,0.665,758,1066
União dos Palmares (AL),270930,0.462,0.59,9360,24701
União Paulista (SP),355570,0.699,0.697,204,339
Uniflor (PR),412830,0.655,0.69,334,315
Unistalda (RS),432237,0.542,0.626,198,473
Upanema (RN),241460,0.516,0.542,2538,5032
Uraí (PR),412840,0.655,0.698,1113,1894
Urandi (BA),293260,0.469,0.595,2480,7068
Urânia (SP),355580,0.709,0.727,1133,419
Urbano Santos (MA),211260,0.522,0.506,3240,20462
Uru (SP),355590,0.639,0.678,143,153
Uruaçu (GO),522160,0.628,0.74,7111,4035
Uruana (GO),522170,0.634,0.665,1966,4489
Uruana de Minas (MG),317047,0.602,0.612,623,944
Uruará (PA),150815,0.42,0.609,6056,21694
Urubici (SC),421890,0.562,0.722,956,1965
Uruburetama (CE),231380,0.608,0.564,2743,11319
Urucânia (MG),317050,0.498,0.628,1593,907
Urucará (AM),130430,0.575,0.551,2092,9265
Uruçuca (BA),293270,0.507,0.607,1836,12067
Uruçuí (PI),221120,0.516,0.614,3103,10394
Urucuia (MG),317052,0.543,0.559,1665,3274
Urucurituba (AM),130440,0.487,0.538,1491,13268
Uruguaiana (RS),432240,0.661,0.722,12292,21755
Uruoca (CE),231390,0.485,0.503,2556,6399
Urupá (RO),110170,0.471,0.621,1416,2430
Urupema (SC),421895,0.622,0.667,364,617
Urupês (SP),355600,0.683,0.741,1299,1006
Urussanga (SC),421900,0.695,0.756,961,780
Urutaí (GO),522180,0.666,0.7,736,532
Utinga (BA),293280,0.487,0.597,1440,8817
Vacaria (RS),432250,0.605,0.74,6726,9834
Vale de São Domingos (MT),510835,0.56,0.658,587,636
Vale do Anari (RO),110175,0.421,0.626,1899,2516
Vale do Paraíso (RO),110180,0.485,0.641,1225,1262
Vale do Sol (RS),432253,0.439,0.681,1047,1185
Vale Real (RS),432254,0.636,0.739,256,148
Vale Verde (RS),432252,0.497,0.666,382,437
Valença (BA),293290,0.502,0.619,11734,32729
Valença (RJ),330610,0.666,0.713,7037,15921
Valença do Piauí (PI),221130,0.566,0.62,3475,7513
Valente (BA),293300,0.568,0.623,3309,10154
Valentim Gentil (SP),355610,0.692,0.708,1624,1475
Valinhos (SP),355620,0.763,0.848,4400,7345
Valparaíso (SP),355630,0.643,0.719,1982,3430
Valparaíso de Goiás (GO),522185,0.695,0.733,28268,25894
Vanini (RS),432255,0.704,0.736,97,72
Vargeão (SC),421910,0.551,0.708,438,169
Vargem (SC),421915,0.495,0.636,355,247
Vargem (SP),355635,0.591,0.69,1068,1045
Vargem Alegre (MG),317057,0.486,0.631,749,2617
Vargem Alta (ES),320503,0.544,0.658,2851,2305
Vargem Bonita (MG),317060,0.597,0.667,304,387
Vargem Bonita (SC),421917,0.656,0.705,456,385
Vargem Grande (MA),211270,0.425,0.487,5807,21959
Vargem Grande do Rio Pardo (MG),317065,0.559,0.563,998,1775
Vargem Grande do Sul (SP),355640,0.643,0.721,3829,4416
Vargem Grande Paulista (SP),355645,0.683,0.755,3464,4195
Varginha (MG),317070,0.707,0.76,9902,8781
Varjão (GO),522190,0.572,0.698,648,822
Varjão de Minas (MG),317075,0.631,0.673,798,1537
Varjota (CE),231395,0.545,0.575,2932,8137
Varre-Sai (RJ),330615,0.555,0.636,1465,4218
Várzea (PB),251710,0.714,0.619,422,934
Várzea (RN),241470,0.552,0.577,514,2680
Várzea Alegre (CE),231400,0.576,0.569,6667,16881
Várzea Branca (PI),221135,0.44,0.518,636,3462
Várzea da Palma (MG),317080,0.573,0.634,4183,7877
Várzea da Roça (BA),293305,0.374,0.539,1391,7164
Várzea do Poço (BA),293310,0.462,0.581,977,3998
Várzea Grande (MT),510840,0.661,0.711,35177,77675
